2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 32, Current best: 520.8410704543161, Global best: 520.4548679845058, Runtime: 0.01063 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 33, Current best: 520.8410704543161, Global best: 520.4548679845058, Runtime: 0.00990 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 34, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00963 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 35, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00952 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 36, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00962 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 37, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.01154 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 38, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00976 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 39, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00968 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 40, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00941 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 41, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00942 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 42, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00922 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 43, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00949 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 44, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00949 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 45, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.01065 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 46, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00927 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 47, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00931 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 48, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.00923 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 49, Current best: 520.6467350186005, Global best: 520.4548679845058, Runtime: 0.01094 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 50, Current best: 520.8555130441579, Global best: 520.4548679845058, Runtime: 0.00931 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 51, Current best: 520.8555130441579, Global best: 520.4548679845058, Runtime: 0.00931 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 52, Current best: 520.8555130441579, Global best: 520.4548679845058, Runtime: 0.00938 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 53, Current best: 520.8555130441579, Global best: 520.4548679845058, Runtime: 0.00942 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 54, Current best: 520.8555130441579, Global best: 520.4548679845058, Runtime: 0.00916 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 55, Current best: 520.8555130441579, Global best: 520.4548679845058, Runtime: 0.00939 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 56, Current best: 520.727951235141, Global best: 520.4548679845058, Runtime: 0.00922 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 57, Current best: 520.727951235141, Global best: 520.4548679845058, Runtime: 0.01004 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 58, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00958 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 59, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00933 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 60, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00965 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 61, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00930 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 62, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.01162 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 63, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.01051 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 64, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00973 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 65, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00929 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 66, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00928 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 67, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00965 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 68, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00981 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 69, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00960 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 70, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.01118 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 71, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00937 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 72, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00949 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 73, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.00916 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 74, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.01189 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 75, Current best: 520.5971088920458, Global best: 520.4548679845058, Runtime: 0.01022 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 76, Current best: 520.8039580969021, Global best: 520.4548679845058, Runtime: 0.00966 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 77, Current best: 520.8039580969021, Global best: 520.4548679845058, Runtime: 0.01015 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 78, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.01067 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 79, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.00969 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 80, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.00995 seconds
2024/09/07 11:06:27 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 81, Current best: 520.8068739622198, Global best: 520.4548679845058, Runtime: 0.00989 seconds
